"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/pieces/page.tsx", "TypeScript JSX", 0, 0, 16, 0, 1, 5, 22
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/radar/new/page.tsx", "TypeScript JSX", 0, 0, 284, 0, 24, 34, 342
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/radar/page.tsx", "TypeScript JSX", 0, 0, 16, 0, 1, 7, 24
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/staff/scan/page.tsx", "TypeScript JSX", 0, 0, 120, 0, 0, 15, 135
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/tickets/page.tsx", "TypeScript JSX", 0, 0, 173, 0, 0, 13, 186
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/(dashboard)/wallet/page.tsx", "TypeScript JSX", 0, 0, 123, 0, 11, 16, 150
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/layout.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 3, 12
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(protected)/scan/page.tsx", "TypeScript JSX", 0, 0, 205, 0, 16, 31, 252
"/Users/jeffreybenson/Documents/labeld/dev/brand-web-dashboard/labeld-web/src/app/(public)/buy/[eventId]/contact/page.tsx", "TypeScript JSX", 0, 0, 216, 0, 27, 30, 273
